calibration_reviewer_name,conversation_external_id,rating_category_name,rating_value,rating_max
Annotator1,00cef68a-8716-457f-929a-9791d52d96f4,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,00cef68a-8716-457f-929a-9791d52d96f4,Does the content make sense?,1.0,1
Annotator2,00cef68a-8716-457f-929a-9791d52d96f4,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,00cef68a-8716-457f-929a-9791d52d96f4,Does the content make sense?,0.0,1
Annotator4,00cef68a-8716-457f-929a-9791d52d96f4,"Is this fluent, human-written Estonian?",2.0,3
Annotator4,00cef68a-8716-457f-929a-9791d52d96f4,Does the content make sense?,1.0,1
Annotator5,00cef68a-8716-457f-929a-9791d52d96f4,"Is this fluent, human-written Estonian?",1.0,3
Annotator5,00cef68a-8716-457f-929a-9791d52d96f4,Does the content make sense?,1.0,1
Annotator1,0430a788-85d6-4c4b-bffc-075e24110818,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,0430a788-85d6-4c4b-bffc-075e24110818,Does the content make sense?,1.0,1
Annotator2,0430a788-85d6-4c4b-bffc-075e24110818,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,0430a788-85d6-4c4b-bffc-075e24110818,Does the content make sense?,1.0,1
Annotator4,0430a788-85d6-4c4b-bffc-075e24110818,Does the content make sense?,1.0,1
Annotator4,0430a788-85d6-4c4b-bffc-075e24110818,"Is this fluent, human-written Estonian?",1.0,3
Annotator5,0430a788-85d6-4c4b-bffc-075e24110818,Does the content make sense?,1.0,1
Annotator5,0430a788-85d6-4c4b-bffc-075e24110818,"Is this fluent, human-written Estonian?",2.0,3
Annotator1,058262f3-c086-4c13-8e81-878f86640711,Does the content make sense?,1.0,1
Annotator1,058262f3-c086-4c13-8e81-878f86640711,"Is this fluent, human-written Estonian?",2.0,3
Annotator2,058262f3-c086-4c13-8e81-878f86640711,"Is this fluent, human-written Estonian?",1.0,3
Annotator2,058262f3-c086-4c13-8e81-878f86640711,Does the content make sense?,1.0,1
Annotator4,058262f3-c086-4c13-8e81-878f86640711,Does the content make sense?,0.0,1
Annotator4,058262f3-c086-4c13-8e81-878f86640711,"Is this fluent, human-written Estonian?",2.0,3
Annotator5,058262f3-c086-4c13-8e81-878f86640711,"Is this fluent, human-written Estonian?",1.0,3
Annotator5,058262f3-c086-4c13-8e81-878f86640711,Does the content make sense?,1.0,1
